Spécification,1. Salariés résidents sortants - données cvs,2. Salariés frontaliers entrants - données cvs,3. Emploi salarié national - données cvs,4. Emploi salarié intérieur - données cvs (3 + 2 - 1),5. Emploi non-salarié national - données cvs,6. Emploi non-salarié intérieur - données cvs,7. Emploi total national - données cvs (3 + 5),8. Emploi total intérieur - données cvs (4 + 6),9. Nombre de chômeurs - données cvs,10. Population active - données cvs (7 + 9),11. Taux de chômage (en %) - données cvs (9 / 10)
septembre 2018,12551.5217135862,193646.836121908,243207.139144669,424302.453552991,22144.2180021985,27091.1030692943,265351.357146868,451393.556622285,15027.0002652261,280378.357412094,5.35954358386506
août 2018,12555.9971863433,192950.648744633,242765.248435369,423159.899993659,22103.0113633775,27025.6741133708,264868.259798747,450185.57410703,15401.6876805423,280269.947479289,5.49530472998018
juillet 2018,12561.6759780383,192332.185439911,242157.838825293,421928.348287165,22088.8756099052,26985.8310594633,264246.714435198,448914.179346628,15434.1723231818,279680.88675838,5.5184937741261
juin 2018,12567.3016267072,191750.287052054,242484.151931304,421667.137356651,21979.6380783281,26859.1049438986,264463.790009632,448526.24230055,15467.6202399106,279931.410249542,5.52550363180829
mai 2018,12572.9586282199,191018.804453768,241846.195987024,420292.041812573,21961.762650208,26801.9658756557,263807.958637232,447094.007688228,15530.6632406935,279338.621877925,5.55979804592884
avril 2018,12578.5066867121,190331.218271313,241426.450082457,419179.161667058,21908.312467722,26733.5867973467,263334.762550179,445912.748464404,15620.5438918889,278955.306442068,5.59965827182889
mars 2018,12584.1145614861,189363.054738994,240793.890772303,417572.830949811,21886.9679597016,26703.9337667719,262680.858732004,444276.764716583,15789.6984717403,278470.557203744,5.67015006192833
février 2018,12589.5569052942,188786.458396228,240068.714879383,416265.616370317,21845.6485907911,26640.6403367432,261914.363470174,442906.25670706,15862.6562508539,277777.019721028,5.7105718344825
janvier 2018,12595.096970255,188285.434576597,239835.731050138,415526.06865648,21785.577013725,26549.193803055,261621.308063863,442075.262459535,15633.4903838273,277254.79844769,5.63867261138741
décembre 2017,12546.196084411,187247.936564717,238956.14519925,413657.885679556,21765.5767661219,26500.836601519,260721.721965372,440158.722281075,15984.3606433841,276706.082608756,5.77665676615609
novembre 2017,12556.4646420789,186663.350972683,238659.854301397,412766.740632002,21777.3348996965,26497.4922138585,260437.189201094,439264.23284586,15828.3326120472,276265.521813141,5.72939124222423
octobre 2017,12566.6171145676,185783.744115526,237512.460500548,410729.587501506,21733.668417506,26429.6668336475,259246.128918054,437159.254335154,15921.2362195584,275167.365137612,5.78601906937479
septembre 2017,12576.6701467999,185206.183620475,236990.051634383,409619.565108058,21675.9153617495,26353.3798608064,258665.966996132,435972.944968864,16252.4122053038,274918.379201436,5.91172269111752
août 2017,12582.4597744591,184319.730234715,236055.28524923,407792.555709486,21710.2389801152,26362.4206522144,257765.524229346,434154.9763617,16255.9004722824,274021.424701628,5.93234652727715
juillet 2017,12588.6283207455,183128.6424629,235261.137121298,405801.151263452,21648.3260452054,26278.5327824842,256909.463166504,432079.684045937,16413.617936483,273323.081102987,6.00520741616345
juin 2017,12595.0000884524,182932.715600771,235324.507043122,405662.222555441,21629.2772805674,26246.2581370925,256953.784323689,431908.480692534,16155.8397656284,273109.624089318,5.91551462878688
mai 2017,12600.8590762501,182285.955557181,234993.328504406,404678.424985338,21605.757802622,26206.4290828679,256599.086307028,430884.854068206,16141.6828913086,272740.769198337,5.91832417967934
avril 2017,12607.1091831345,181731.99911784,234233.811865004,403358.701799709,21574.3393640741,26149.4354728413,255808.151229078,429508.137272551,16191.1487854535,271999.300014531,5.95264354893137
mars 2017,12612.6152446541,181447.301690207,233956.521709869,402791.208155422,21601.0369480821,26161.8336046827,255557.558657951,428953.041760105,16212.4090151694,271769.967673121,5.96548954764177
février 2017,12618.7295319769,180509.255438711,233282.007797258,401172.533703992,21531.8959685242,26069.7263664151,254813.903765782,427242.260070407,16345.2145793731,271159.118345155,6.02790519423636
janvier 2017,12623.8419430666,179637.17870526,232482.653182805,399495.989944999,21542.2426726235,26051.9891469789,254024.895855429,425547.979091978,16615.0407117606,270639.93656719,6.13916812223156
décembre 2016,12773.6795274809,179500.250685995,231965.883161777,398692.454320292,21591.1045116849,26090.4981178994,253556.987673462,424782.952438191,16768.6116039424,270325.599277404,6.20311640805232
novembre 2016,12746.7408107159,178829.506645241,231450.932124891,397533.697959416,21577.5176815137,26065.2997578195,253028.449806405,423598.997717236,16685.1703645156,269713.62017092,6.18625427738578
octobre 2016,12720.3883365176,178245.568455322,231120.893231859,396646.073350663,21443.0039993049,25918.5920213526,252563.897231164,422564.665372016,16880.8937091415,269444.790940305,6.26506589725885
septembre 2016,12693.1009395835,177599.507144063,230244.412496833,395150.818701312,21530.3610400028,25990.7138098275,251774.773536836,421141.53251114,16890.4333233068,268665.206860143,6.28679594231914
août 2016,12662.9716525548,176948.82555863,229385.582884852,393671.436790927,21466.9864335126,25888.513264308,250852.569318364,419559.950055235,16840.7810407715,267693.350359136,6.29107186195621
juillet 2016,12632.7130863461,176688.842361895,229175.111281915,393231.240557463,21409.6071859679,25813.8595064799,250584.718467882,419045.100063943,16815.8987175905,267400.617185473,6.2886536667665
juin 2016,12602.5237576624,175989.546515726,228358.088719846,391745.111477909,21434.5379451217,25802.1007660013,249792.626664967,417547.21224391,16945.3880127392,266738.014677707,6.35282077555159
mai 2016,12571.993933537,175364.616558854,227952.728420166,390745.351045483,21368.3841699729,25706.5001242186,249321.112590139,416451.851169702,17007.0311781773,266328.143768316,6.38574314285464
