year,month,economic confidence index,consumer confidence index,financial situation expectation,general economic situation expectation,number of people unemployed expectation,probability of saving,real sector confidence index,total amount of orders,amount of stocks of finished goods,volume of output,total employment,total amount of orders,export orders,fixed investment expenditure,general business situation
2007,01,112.6,78.6,95.2,107.1,85.8,26.3,117.0,93.4,92.7,138.8,119.3,127.7,132.7,121.1,110.3
,02,110.0,79.5,95.9,108.7,86.5,26.9,113.3,91.4,85.0,137.1,117.9,117.5,125.0,119.2,113.4
,03,110.3,79.2,95.8,108.3,85.8,27.0,113.7,91.4,86.4,139.4,115.0,120.8,127.2,122.4,106.7
,04,111.5,80.4,96.6,110.3,87.1,27.8,115.9,97.0,80.5,132.9,112.7,128.3,131.6,126.6,117.2
,05,106.1,81.7,97.4,112.4,88.6,28.6,106.8,94.6,79.1,127.6,111.0,116.7,106.5,121.8,96.8
,06,109.4,80.9,96.8,111.0,87.6,28.4,109.7,91.1,101.1,125.2,107.8,111.0,114.1,116.4,110.7
,07,110.8,82.3,97.6,113.0,89.3,29.1,111.1,93.0,91.2,128.6,112.8,117.0,124.9,112.6,108.7
,08,113.6,85.0,99.2,117.4,93.0,30.5,113.8,92.8,89.6,129.4,116.3,123.0,120.7,126.9,111.4
,09,112.2,83.9,98.3,115.2,91.9,30.2,110.8,94.9,97.5,125.9,114.6,111.1,125.7,109.1,107.8
,10,109.3,83.0,97.5,113.4,91.2,29.9,108.0,88.2,86.7,127.2,113.7,112.9,128.5,109.2,97.9
,11,108.4,79.3,94.8,107.0,87.2,28.3,109.0,89.3,91.6,138.0,110.6,104.2,131.2,104.9,102.1
,12,110.0,80.7,95.5,108.9,89.5,28.8,110.5,90.1,97.4,127.8,109.9,126.4,126.0,108.5,97.6
2008,01,107.1,78.9,94.0,105.6,88.0,27.9,108.4,85.9,90.5,124.7,114.9,119.3,125.2,109.2,97.4
,02,103.2,74.4,90.8,97.8,83.1,25.8,105.4,84.5,91.6,132.5,111.5,99.6,129.2,107.1,86.9
,03,98.8,68.7,86.9,88.2,76.8,23.1,103.9,93.0,95.6,121.3,106.1,114.0,124.2,107.4,69.7
,04,92.6,63.0,83.0,78.5,70.4,20.2,99.9,82.2,92.3,121.5,103.4,101.5,119.6,104.9,73.9
,05,90.7,62.1,82.3,77.0,69.9,19.3,99.1,83.3,86.2,117.3,106.4,107.7,114.3,105.8,71.9
,06,90.0,61.8,82.1,76.5,69.9,18.8,97.8,82.4,90.1,120.6,103.6,104.7,110.6,103.7,66.5
,07,89.1,63.8,83.5,79.9,72.5,19.3,95.4,80.3,86.3,120.1,99.3,98.3,108.3,103.5,66.9
,08,91.9,66.6,85.4,84.7,76.0,20.3,97.0,76.5,88.0,118.1,97.7,100.4,114.5,95.3,85.4
,09,87.3,67.5,86.2,86.4,76.9,20.6,89.7,69.7,83.6,107.9,88.0,94.2,109.4,95.4,69.7
,10,73.2,61.0,82.1,75.8,68.6,17.6,74.4,54.0,84.6,80.7,82.5,88.2,83.1,78.7,43.1
,11,60.4,55.7,78.8,67.3,61.5,15.0,59.8,46.4,78.6,72.3,60.0,56.3,76.6,58.9,29.1
,12,62.7,56.7,79.8,69.5,62.3,15.2,60.0,38.3,91.0,73.8,66.8,43.6,81.8,50.8,33.5
2009,01,64.8,58.3,81.2,72.7,63.6,15.8,61.9,31.7,91.2,85.5,68.1,43.0,75.2,53.4,47.2
,02,68.4,60.8,83.2,77.3,65.8,16.8,64.3,26.9,100.9,84.8,63.4,49.0,77.2,57.7,54.3
,03,70.9,61.6,84.1,79.1,65.7,17.3,67.2,28.9,88.6,92.0,73.8,50.6,98.9,47.1,57.7
,04,85.0,67.5,88.5,89.6,72.0,20.0,81.2,39.7,110.1,111.0,84.8,58.6,101.5,54.9,88.9
,05,94.4,70.1,90.5,94.3,73.9,21.4,93.4,49.9,117.0,118.3,83.8,94.0,110.6,65.2,108.6
,06,96.2,72.0,92.2,98.1,75.3,22.7,95.9,55.5,103.5,117.3,92.1,105.4,116.4,62.6,114.7
,07,96.7,69.1,90.6,93.7,70.6,21.8,98.0,60.2,116.5,110.5,97.0,114.3,110.0,70.2,105.1
,08,95.7,68.1,90.2,92.3,68.3,21.6,98.1,61.9,114.9,106.5,94.3,113.0,107.1,75.3,111.4
,09,94.9,68.7,90.8,93.6,68.3,22.1,97.3,61.6,101.7,110.3,97.6,112.7,113.2,71.2,109.8
