Commune,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Beaufort,,,,,,,,,,,,,
Bech,,,,,,,,,,,,,
Beckerich,,,,3140.999,,,,,,3369.673,,4425.813,
Berdorf,,,,,,,,,,,,,
Bertrange,3908.121,4661.472,4050.639,4122.171,4610.767,4698.006,5367.213,5974.742,5773.148,6310.217,6500.847,7478.94,8534.381
Bettembourg,3517.353,3418.235,3542.597,3482.89,3672.309,3666.91,3804.153,3925.209,4075.371,4622.269,5047.437,5154.922,5993.624
Bettendorf,,,,,,,3555.294,,3443.911,,,,
Betzdorf,,,,4306.119,4179.503,4020.1,,4058.906,,4357.622,,,
Bissen,3283.405,3686.782,3254.024,3245.175,3517.562,,3155.827,,3789.934,4174.365,4338.599,4804.897,5131.815
Biwer,,,,,,,,,,,,,
Boevange-sur-Attert,,,,,,,,,,,,,
Boulaide,,,,,,,,,,,,,
Bourscheid,,,,,,,,,,,,,
Bous,,,,,3958.893,,,,4303.006,,,3703.225,3750.946
Clervaux,2630.094,2846.091,2922.786,3321.924,2951.121,3007.043,2927.163,3105.94,3200.625,3615.938,3567.86,4534.066,5080.127
Colmar-Berg,3187.429,3467.129,3243.431,3213.209,3372.796,3459.188,3441.542,3667.436,4128.748,4131.442,4526.117,,
Consdorf,,,,,,,,,,,,5807.372,
Contern,3543.771,3782.168,3577.672,3853.918,4201.906,,,4237.257,4584.945,5083.801,5659.474,,
Dalheim,3647,,,3391.231,,,,,,,,4695.884,5077.94
Diekirch,3342.848,3298.225,3254.674,3428.99,3556.437,3652.541,3770.578,3747.355,4166.409,4015.693,4614.083,4608.201,4955.395
Differdange,3158.416,3149.456,3197.405,3268.796,3397.404,3495.463,3604.329,3676.2,3858.024,3999.447,4265.998,5130.902,5692.636
Dippach,,3905.912,3022.317,3531.395,3755.555,3793.629,4009.644,4310.926,4558.71,4393.569,4897.931,4726.373,5301.83
Dudelange,3433.776,3406.292,3264.304,3459.993,3499.34,3726.644,3766.274,3837.057,3980.325,4312.473,4333.493,4605.043,4709.595
Echternach,3162.384,3117.158,3201.468,3389.834,3350.291,3668.146,3560.576,3924.517,3977.222,4190.584,4079.682,,
Ell,,,,,,,,,,,,,
Erpeldange,,,,,,,3832.546,,,,4207.625,4639.077,5111.066
Esch-sur-Alzette,3254.348,3221.539,3145.165,3334.614,3493.531,3426.611,3798.34,3894.455,3867.731,4069.297,4298.295,,
Esch-sur-Sûre,,,,,,,,,,,3324.541,4618.387,5126.396
Eschweiler,,,,,,,,,3674.434,0,4294.743,,
Ettelbruck,3288.309,3372.865,3117.347,3295.174,3561.33,3608.368,3495.778,4065.033,,3897.768,,,
Feulen,,,,,,,,,,,,,
Fischbach,,,,,,,,,,,,5358.449,5606.809
Flaxweiler,,,,,,,,,4622.278,,5138.245,,
Frisange,3615.148,3630.219,3365.476,3648.618,3543.395,3740.67,4374.453,4120.192,,4582.405,,,
Garnich,,,,,,,,,,,,4843.007,5112.565
Goesdorf,,,,,,,,3364.693,3948.47,,4508.611,,
Grevenmacher,3290.05,3497.075,3174.88,3631.911,3579.866,3656.865,3845.828,4132.43,,3980.68,,4573.041,4566.196
Grosbous,,,,,,,,,,,,,
Heffingen,,,,,,,,,5312.129,,5792.701,4484.244,
Hesperange,3710.952,4125.609,3793.039,4236.483,4423.53,4585.163,4758.769,4948.887,4180.134,5590.56,4276.944,6474.283,7529.675
Hobscheid,3438.451,3539.369,3440.977,3462.752,3496.858,3567.256,3786.632,3722.201,4909.447,4055.172,5269.818,5827.396,5919.748
Junglinster,3768.906,,3759.141,3728.844,3876.126,4440.737,4441.937,4473.54,4044.644,5079.757,4322.124,4793.77,5202.5
Kaerjeng,3384.8,3402.264,3202.215,3454.338,3655.145,3722.413,3583.825,3844.951,3993.751,4240.096,4608.412,5018.03,5669.298
Kayl,3383.805,3378.727,3245.489,3426.965,3521.893,3742.394,3867.934,3897.749,,4527.896,4414.18,5437.076,6502.957
Kehlen,,,3067.42,,3745.568,4328.216,4281.092,4532.964,,4713.481,,,
Kiischpelt,,,,,,,,,,,,,
Koerich,,,,,,,,,4718.055,,,,
Kopstal,,,,,,,,5070.544,,6052.651,,,
Lac de la Haute-Sûre,,,,,,,,,3667.465,,3807.627,4006.61,
Larochette,,2936.518,,2951.252,3106.795,3167.292,3588.372,3735.932,,,,,
Lenningen,,,,,,,,,5411.193,,6097.307,6662.367,7444.546
Leudelange,3899.653,4238.737,4316.903,3900.804,4475.248,4614.376,4676.211,4993.801,4531.518,5440.173,4900.887,4736.072,5385.33
Lintgen,3215.429,3258.222,3587.539,3588.295,3674.715,3884.23,3891.442,4165.789,4898.024,4726.954,5042.964,6025.886,6573.653
Lorentzweiler,,3804.566,3831.168,,4037.158,,,4713.437,6001.037,,7074.265,8099.065,9028.888
Luxembourg-Ville,4015.068,4258.016,4060.211,4375.442,4721.346,5071.203,5339.873,5616.201,4785.392,6637.884,5715.779,5704.181,6360.426
