,VENTES D'APPARTEMENTS CONSTRUITS,,,VENTES EN ETAT FUTUR D'ACHEVEMENT (VEFA),,
Commune,Nombre de ventes,Prix moyen au m²,Fourchette de prix au m²,Nombre de VEFA,Prix moyen au m²,Fourchette de prix au m²
Beaufort,4.00,*,*,0.00,*,*
Bech,0.00,*,*,0.00,*,*
Beckerich,8.00,*,*,0.00,*,*
Berdorf,6.00,*,*,1.00,*,*
Bertrange,21.00,3908.12,2829 € - 4720 €,29.00,4575.02,3070 € - 5843 €
Bettembourg,39.00,3517.35,2762 € - 4628 €,1.00,*,*
Bettendorf,5.00,*,*,2.00,*,*
Betzdorf,6.00,*,*,12.00,3944.94,3453 € - 4376 €
Bissen,12.00,3283.41,2727 € - 3864 €,7.00,*,*
Biwer,0.00,*,*,0.00,*,*
Boevange-sur-Attert,3.00,*,*,0.00,*,*
Boulaide,5.00,*,*,0.00,*,*
Bourscheid,0.00,*,*,0.00,*,*
Bous,5.00,*,*,6.00,*,*
Clervaux,21.00,2630.09,1797 € - 3106 €,10.00,2961.17,2000 € - 3268 €
Colmar-Berg,15.00,3187.43,2154 € - 3974 €,3.00,*,*
Consdorf,3.00,*,*,0.00,*,*
Contern,13.00,3543.77,2595 € - 4578 €,13.00,4295.27,3603 € - 4970 €
Dalheim,10.00,3647.00,2262 € - 4631 €,0.00,*,*
Diekirch,33.00,3342.85,2207 € - 4420 €,4.00,*,*
Differdange,155.00,3158.42,2097 € - 4120 €,102.00,3423.19,2839 € - 3947 €
Dippach,9.00,*,*,0.00,*,*
Dudelange,153.00,3433.78,2408 € - 4225 €,31.00,3315.44,2452 € - 4059 €
Echternach,22.00,3162.38,2654 € - 3893 €,17.00,3373.46,2743 € - 4022 €
Ell,8.00,*,*,4.00,*,*
Erpeldange,5.00,*,*,2.00,*,*
Esch-sur-Alzette,189.00,3254.35,2309 € - 4139 €,62.00,3745.75,3236 € - 4390 €
Esch-sur-Sûre,8.00,*,*,2.00,*,*
Eschweiler,4.00,*,*,1.00,*,*
Ettelbruck,33.00,3288.31,2025 € - 4167 €,12.00,3152.72,2389 € - 4172 €
Feulen,0.00,*,*,0.00,*,*
Fischbach,7.00,*,*,0.00,*,*
Flaxweiler,1.00,*,*,0.00,*,*
Frisange,21.00,3615.15,2775 € - 4345 €,16.00,3610.12,2827 € - 4317 €
Garnich,4.00,*,*,0.00,*,*
Goesdorf,1.00,*,*,2.00,*,*
Grevenmacher,23.00,3290.05,2528 € - 3991 €,18.00,3945.23,2819 € - 4800 €
Grosbous,1.00,*,*,5.00,*,*
Heffingen,0.00,*,*,1.00,*,*
Hesperange,75.00,3710.95,2444 € - 4868 €,29.00,4218.49,3129 € - 5317 €
Hobscheid,17.00,3438.45,2734 € - 4335 €,8.00,*,*
Junglinster,16.00,3768.91,2774 € - 4573 €,6.00,*,*
Kaerjeng,34.00,3384.80,2451 € - 4123 €,39.00,3760.42,3301 € - 4514 €
Kayl,33.00,3383.81,1962 € - 4259 €,17.00,3374.61,2286 € - 3988 €
Kehlen,4.00,*,*,13.00,3800.39,2828 € - 4290 €
Kiischpelt,0.00,*,*,0.00,*,*
Koerich,3.00,*,*,0.00,*,*
Kopstal,2.00,*,*,0.00,*,*
Lac de la Haute-Sûre,0.00,*,*,0.00,*,*
Larochette,6.00,*,*,6.00,*,*
Lenningen,0.00,*,*,0.00,*,*
Leudelange,11.00,3899.65,2203 € - 5183 €,12.00,4239.26,3839 € - 4992 €
Lintgen,11.00,3215.43,2651 € - 4003 €,12.00,3578.94,2392 € - 4702 €
Lorentzweiler,9.00,*,*,6.00,*,*
Luxembourg-Ville,406.00,4015.07,2541 € - 5260 €,371.00,4583.49,3470 € - 6270 €
Mamer,39.00,3666.01,2480 € - 4378 €,52.00,4157.40,2931 € - 4818 €
Manternach,2.00,*,*,0.00,*,*
Mersch,37.00,3609.25,2722 € - 4537 €,9.00,*,*
Mertert,19.00,3295.05,1892 € - 4584 €,4.00,*,*
Mertzig,3.00,*,*,5.00,*,*
Mompach,0.00,*,*,0.00,*,*
Mondercange,32.00,3499.66,2885 € - 4060 €,20.00,4232.90,3096 € - 4988 €
Mondorf-les-Bains,42.00,3730.95,2665 € - 4601 €,9.00,*,*
Niederanven,2.00,*,*,0.00,*,*
Nommern,2.00,*,*,2.00,*,*
Parc Hosingen,0.00,*,*,0.00,*,*
Petange,70.00,3248.47,2269 € - 4112 €,15.00,3233.13,2434 € - 3702 €
Preizerdaul,1.00,*,*,0.00,*,*
Putscheid,0.00,*,*,2.00,*,*
Rambrouch,9.00,*,*,1.00,*,*
Reckange-sur-Mess,6.00,*,*,9.00,*,*
Redange,1.00,*,*,39.00,2996.05,1934 € - 3961 €
Reisdorf,0.00,*,*,0.00,*,*
Remich,23.00,3364.58,2114 € - 4656 €,11.00,3226.93,2317 € - 3725 €
Roeser,54.00,3759.96,2670 € - 4715 €,41.00,4016.91,3542 € - 4662 €
Rosport,1.00,*,*,4.00,*,*
Rumelange,22.00,3061.89,2175 € - 3758 €,16.00,3028.66,2157 € - 3763 €
Saeul,5.00,*,*,0.00,*,*
Sandweiler,14.00,3932.42,2756 € - 5512 €,1.00,*,*
Sanem,85.00,3401.09,2343 € - 4166 €,16.00,3531.60,2663 € - 4310 €
Schengen,18.00,3160.53,1938 € - 3987 €,19.00,3417.30,2764 € - 4164 €
Schieren,3.00,*,*,8.00,*,*
Schifflange,43.00,3242.41,2557 € - 3940 €,5.00,*,*
Schuttrange,10.00,3770.99,2214 € - 4940 €,0.00,*,*
Septfontaines,0.00,*,*,0.00,*,*
Stadtbredimus,16.00,3452.03,3061 € - 4398 €,0.00,*,*
Steinfort,17.00,3514.57,2422 € - 4123 €,0.00,*,*
Steinsel,19.00,3496.74,2013 € - 4586 €,1.00,*,*
Strassen,35.00,4036.82,2786 € - 4987 €,74.00,4594.85,3819 € - 5541 €
Tandel,4.00,*,*,1.00,*,*
Troisvierges,2.00,*,*,9.00,*,*
Tuntange,2.00,*,*,0.00,*,*
Useldange,3.00,*,*,1.00,*,*
Vallée de l'Ernz,2.00,*,*,5.00,*,*
Vianden,4.00,*,*,0.00,*,*
Vichten,2.00,*,*,0.00,*,*
Wahl,0.00,*,*,0.00,*,*
Waldbillig,1.00,*,*,0.00,*,*
Waldbredimus,2.00,*,*,0.00,*,*
Walferdange,39.00,3823.29,2222 € - 5606 €,12.00,3995.71,3471 € - 4303 €
Weiler-la-Tour,6.00,*,*,6.00,*,*
Weiswampach,5.00,*,*,1.00,*,*
Wiltz,12.00,2749.76,1855 € - 3608 €,17.00,2698.79,2264 € - 2901 €
Wincrange,4.00,*,*,0.00,*,*
Winseler,5.00,*,*,9.00,*,*
Wormeldange,4.00,*,*,1.00,*,*
