Specification,Superficie totale,Surfaces agricoles et sylvicoles,Surfaces baties,dont surfaces industrielles et autres,Voirie chemin de fer etc,Cours et plans d'eau
1972,100,93.2,3.1,,3.2,0.5
1990,100,91.8,4.3,,3.4,0.5
2000,100,87.4,8.1,2.7,3.9,0.6
2001,100,87.2,8.2,2.6,4,0.6
2002,100,87,8.4,2.7,4,0.6
2003,100,86.8,8.5,2.7,4.1,0.6
2004,100,86.6,8.7,2.8,4.1,0.6
2005,100,86.5,8.7,2.8,4.2,0.6
2006,100,86.4,8.8,2.8,4.2,0.6
2007,100,86.2,8.9,2.8,4.3,0.6
2008,100,86,9.1,2.9,4.3,0.6
2009,100,85.9,9.2,2.9,4.3,0.6
2010,100,85.7,9.3,3,4.4,0.6
2011,100,85.5,9.5,3.1,4.4,0.6
2012,100,85.5,9.5,3.1,4.4,0.6
2013,100,85.4,9.6,3.1,4.4,0.6
2014,100,85.3,9.7,3.1,4.4,0.6
2015,100,85.3,9.7,3,4.4,0.6
2016,100,85.1,9.8,3.1,4.5,0.6
2017,100,85.1,9.8,3.1,4.5,0.6
2018,100,85.2,9.7,3,4.5,0.6
2019,100,84.8,9.8,3.1,4.5,0.6
