Sp+AOk-cification,Importations (sans pompage),Exportations,Production hydro+AOk-lectrique (sans pompage),Production +AOk-olienne,Production thermique,Production par cog+AOk-n+AOk-ration classique,Production par biom+AOk-thanisation
Janvier 2008,515403907,268905073,15882142,8901314,239481115,39839031,3477378
F+AOk-vrier 2008,492908231,242287220,13229723,5632166,216082894,37509067,3105901
Mars 2008,511478062,258561148,17904608,8243949,234582495,37060627,3596567
Avril 2008,505912438,185736808,15224301,3152205,151696293,34251384,3639754
Mai 2008,539487831,76449762,6369060,2906031,2629120,24356917,3244814
Juin 2008,515001599,70568448,7452604,2685345,2900040,22806003,3401130
Juillet 2008,533531770,102476212,3751408,3495689,39779381,22123174,3418832
Ao+APs-t 2008,424940320,261607531,3507759,5698748,237770055,20837868,3393362
Septembre 2008,441011960,247681401,5638506,4922609,237958665,26713702,3122010
Octobre 2008,438910433,260992338,10851523,5206281,254439095,35079158,3250979
Novembre 2008,389895571,251777976,12449519,6772375,231007124,34676699,3815448
D+AOk-cembre 2008,361821268,256487548,15916232,2972061,213922594,34391753,6360538
Janvier 2009,442014998,267312470,11527315,5441474,253249150,37559056,4838546
F+AOk-vrier 2009,397754557,218820756,13424024,4776604,201400124,31718583,4133777
Mars 2009,394263336,230761601,14730371,7859495,219549074,28024713,4621722
Avril 2009,398614769,200357377,10755240,3968707,211815454,22233070,4455192
Mai 2009,400620007,186911807,7583629,4042755,201127754,24188080,4426430
Juin 2009,399997321,141978714,4388242,3942544,138270303,23843547,4082599
Juillet 2009,430361528,202526382,4287438,4670947,222398054,20911039,4321281
Ao+APs-t 2009,373688016,243391032,2390825,2548009,225876955,15679634,4661307
Septembre 2009,434708525,224985428,1866118,3954338,231535000,22277969,3995745
Octobre 2009,459131004,246824053,2293718,5464903,246112705,32022886,4729533
Novembre 2008,436837987,213917333,9565831,10089579,210656354,35795262,4697603
D+AOk-cembre 2009,419773345,226693580,16250495,6712568,179761154,35239154,4108606
Janvier 2010,473170711,275812537,14132225,3023232,224889805,40295046,4874312
F+AOk-vrier 2010,426703120,257347360,13223215,6322375,213806750,37824006,4324272
Mars 2010,464672996,260867986,15539712,7745917,225254904,39255750,4702968
avril 2010,447158865,272100679,10291283,4598593,208777604,30970272,4648315
Mai 2010,482418140,257677096,5648482,3925698,149238722,29552734,4793855
Juin 2010,426618063,271961067,4643948,3078638,215968604,23029773,4823205
Juillet 2010,462564186,236758287,1755734,2761005,223282854,19445160,4672812
Ao+APs-t 2010,374859745,229438985,4023781,4755736,203420104,22140837,4610012
Septembre 2010,446808795,235524194,4580646,3582214,212021050,25869868,4470452
Octobre 2010,476490162,282446936,4352950,5751123,245067606,30354975,4524717
Novembre 2010,454491732,292748589,11767289,6340893,213607705,35690217,4632538
D+AOk-cembre 2010,430769416,343385749,13785262,3197978,252399562,44665172,4471357
Janvier 2011,482347296,310211530,15089466,6463366,236205957,40216527,4577536
F+AOk-vrier 2011,445814643,296491428,10744454,4161977,219967156,36527924,4362196
Mars 2011,468858841,306729634,7112049,5960750,236310600,41776764,4835356
Avril 2011,441886695,278955874,3834504,3902537,218727250,22406405,4566381
Mai 2011,489297807,204718372,1260948,4018346,199649355,23461280,4677111
Juin 2011,463227291,171672376,1712983,4940883,211631955,24471096,4388495
Juillet 2011,484618985,192485499,1848228,4127938,186797700,25141036,4632610
Ao+APs-t 2011,447643668,94730166,2601745,4160778,23743350,35549748,4302675
Septembre 2011,513245441,81360424,1272153,4616213,6322000,25574410,4378913
Octobre 2011,472623247,138335913,2183815,5992297,48109900,33506776,4588381
Novembre 2011,439389280,266743199,1632180,3324388,227314910,39783962,4649200
D+AOk-cembre 2011,414412344,271950609,9197895,12093675,217397855,39672407,4775666
Janvier 2012,467645080,237124015,12466523,9043023,187173250,41594254,4966235
F+AOk-vrier 2012,453651287,280497746,7840263,4946504,238628906,41486794,4844384
Mars 2012,465453727,274582846,6994270,3834165,203227197,37903997,5062862
Avril 2012,428294658,266950956,5427735,5692462,218603500,33079574,4894468
Mai 2012,426760449,259547022,8786724,4555212,207939000,27721183,4847593
Juin 2012,437345101,246692153,6034111,4282556,198605900,23584054,4491615
Juillet 2012,409255109,197725613,7311514,4278132,187246050,23281789,4571416
Ao+APs-t 2012,383241150,163665460,4031911,4516593,132823050,20155696,4436292
Septembre 2012,449858774,131381553,2386097,4080973,64181700,23751788,4192098
Octobre 2012,436520021,201739878,7418678,10354206,170754700,31444384,4492766
Novembre 2012,423427931,196580913,10516578,7149450,169839900,34621587,5316441
D+AOk-cembre 2012,415952376,165292960,14023021,12445837,107432650,37145364,5212075
Janvier 2013,470632804,184173444,13939370,6550197,141030100,39082946,4809027
F+AOk-vrier 2013,422344808,167396757,12365367,6640026,140102500,36667704,4909379
Mars 2013,437969027,230746235,13569664,6275963,184521150,40286096,5228647
Avril 2013,434299917,152139128,9720635,7122752,70776750,31270381,5065781
Mai 2013,438337543,128486041,10184314,6146121,49485600,28284874,4859360
Juin 2013,434411415,108913461,6297274,6488824,6324700,23229082,4393239
Juillet 2013,476075451,86512547,3697195,4303781,15712150,19233934,4221994
Ao+APs-t 2013,420164045,80281953,1607809,2908614,9420000,17665613,3932646
Septembre 2013,505696005,128978916,4590878,5394688,6791000,21013986,3760388
Octobre 2013,477564371,222890714,9080780,8958999,170607453,26241988,4365320
Novembre 2013,459019882,244869812,13675361,9333253,196903000,34642356,4408231
D+AOk-cembre 2013,397064466,172128066,13393272,10737097,149393000,39375438,4839560
Janvier 2014,467624358,169711784,17960004,9034216,98269052,38902605,5186847
