Annee,Population totale,   Luxembourgeois,   Etrangers
1961,314900,273400,41500
1962,,,
1963,,,
1964,,,
1965,,,
1966,,,
1967,,,
1968,,,
1969,,,
1970,,,
1971,339800,277350,62450
1972,,,
1973,,,
1974,,,
1975,,,
1976,,,
1977,,,
1978,,,
1979,,,
1980,,,
1981,364602,268813,95789
1982,,,
1983,365450,,
1984,365550,,
1985,366150,,
1986,367200,,
1987,369400,269050,100350
1988,372000,269200,102800
1989,375800,270050,105750
1990,379300,270400,108900
1991,384400,271350,113050
1992,389600,272050,117550
1993,394750,272500,122250
1994,400200,273300,126900
1995,405650,274100,131550
1996,411600,274750,136850
1997,416850,275450,141400
1998,422050,276000,146050
1999,427350,276300,151050
2000,433600,276600,157000
2001,439000,277000,162000
2002,444050,277330,166720
2003,448300,277600,170700
2004,455000,277200,177800
2005,461200,277500,183700
2006,469100,277800,191300
2007,476200,277900,198300
2008,483800,277900,205900
2009,493500,277991,215509
2010,502066,285721,216345
2011,511840,290476,221364
2012,524853,294983,229870
2013,537039,298195,238844
2014,549680,300766,248914
2015,562958,304279,258679
2016,576249,307074,269175
2017,590667,309170,281497
2018,602005,313771,288234
2019,613894,322430,291464
2020,626108,329643,296465
