Specification,Enseignement postprimaire au total,Enseignement public,+AKAAoACg-Masculin,+AKAAoACg-F+AOk-minin,Enseignement priv+AOk-,+AKAAoACg-Masculin,+AKAAoACg-F+AOk-minin
1991/1992,20817,18682,10039,8643,2135,493,1642
1992/1993,21989,19472,10422,9050,2517,554,1963
1993/1994,23138,20635,11030,9605,2503,572,1931
1994/1995,25607,22822,12441,10381,2785,591,2194
1995/1996,27482,24500,13184,11316,2982,623,2359
1996/1997,28483,25386,13626,11760,3097,615,2482
1997/1998,29592,26429,14129,12300,3163,675,2488
1998/1999,30234,26796,14338,12458,3438,790,2648
1999/2000,30603,27070,14427,12643,3533,829,2704
2000/2001,31218,27619,14688,12931,3599,799,2800
2001/2002,31540,27929,14837,13092,3611,804,2807
2002/2003,32056,28378,15122,13256,3678,826,2852
2003/2004,32520,28857,15379,13478,3663,802,2861
2004/2005,33031,29319,15568,13751,3712,803,2909
2005/2006,33873,30113,16126,13987,3760,785,2975
2006/2007,34970,31289,16781,14508,3681,728,2953
2007/2008,35927,32204,17397,14807,3723,679,3044
2008/2009,36792,33065,17888,15177,3727,649,3078
2009/2010,37941,34237,18487,15750,3704,615,3089
2010/2011,38704,34918,18869,16049,3786,608,3178
2011/2012,39305,35514,19119,16395,3791,607,3184
2012/2013,39585,35829,19333,16496,3756,639,3117
2013/2014,39830,36089,19402,16687,3741,667,3074
2014/2015,39653,35931,19239,16692,3722,635,3087
2015/2016,39983,36312,19470,16842,3671,644,3027
2016/2017,39896,36309,19516,16793,3587,597,2990
