Specification,Lignes de cotation,Emprunts obligataires,+AKAAoACg-Emprunts internationaux,Actions,Organismes de placement collectif,Warrants et autres
1970,644,479,432,70,95,.
1980,1557,1379,1312,103,75,.
1985,3635,3098,3001,187,178,172
1990,10131,7424,7320,260,1369,1078
1995,11874,7687,7468,327,2519,1341
1996,12870,8441,8029,313,2766,1350
1997,14478,9574,9040,317,3030,1557
1998,15386,10513,9964,308,3337,1228
1999,17051,12021,11453,312,3658,1060
2000,19690,13679,12991,297,4625,1089
2001,23438,16447,15527,278,5407,1306
2002,26486,18883,17804,268,5798,1537
2003,29102,21285,20072,268,5754,1795
2004,33022,24292,22814,261,6055,2414
2005,36054,26782,25029,279,6172,2821
2006,39860,28625,26710,292,6887,4056
2007,45573,31469,29320,292,7372,6440
2008,49097,32933,30641,290,8133,7741
2009,45660,30805,28630,293,7285,7277
2010,44916,29566,27479,324,7445,7581
2011,44369,29243,27202,340,6440,8346
2012,42061,27839,26215,336,6342,7544
2013,40312,26684,24789,318,6274,7036
2014,39442,26251,23487,264,6613,6314
2015,37930,25674,22379,233,6507,5516
2016,36505,25981,21591,215,5715,4594
2017,35703,26499,21721,202,5157,3845
