Quarter,ValeurAjouteeBrute
1995T1,3439.3
1995T2,3544.8
1995T3,3458.1
1995T4,3827.9
1996T1,3767.8
1996T2,3803.9
1996T3,3776.6
1996T4,3812.6
1997T1,3820.6
1997T2,3945.9
1997T3,3913.4
1997T4,4084.9
1998T1,3938.8
1998T2,4083.4
1998T3,4003.3
1998T4,4280.9
1999T1,4373.4
1999T2,4628.6
1999T3,4628.5
1999T4,5074.4
2000T1,5056.2
2000T2,5081.1
2000T3,5082.5
2000T4,5399.6
2001T1,5198.5
2001T2,5221.9
2001T3,5151.4
2001T4,5771.3
2002T1,5545.7
2002T2,5753.1
2002T3,5460.9
2002T4,5778.6
2003T1,5596
2003T2,5840.4
2003T3,5646.1
2003T4,6373.5
2004T1,5963.7
2004T2,6187.2
2004T3,6078.3
2004T4,6611.8
2005T1,6252.9
2005T2,6568.4
2005T3,6585.8
2005T4,7261.1
2006T1,7342.6
2006T2,7520.6
2006T3,7360
2006T4,8115.8
2007T1,7957.7
2007T2,8385.5
2007T3,8117.7
2007T4,8814.6
2008T1,8501.8
2008T2,8626.2
2008T3,8432.9
2008T4,8641.9
2009T1,8122.6
2009T2,8084.4
2009T3,8014.7
2009T4,8913.4
2010T1,8458.8
2010T2,9031.2
2010T3,8884
2010T4,9763.1
2011T1,9494.1
2011T2,9625.6
2011T3,9464.3
2011T4,10155
2012T1,9601
2012T2,9812.9
2012T3,9513.2
2012T4,10459.3
2013T1,9825.6
2013T2,10339.9
2013T3,10268.5
2013T4,11093.4
2014T1,10613.5
2014T2,10652.7
2014T3,10935.1
2014T4,12194.7
2015T1,11392.1
2015T2,11452.3
2015T3,11191.6
2015T4,12609.6
2016T1,11666.7
2016T2,12027.8
2016T3,11845.2
2016T4,12743.9
2017T1,12153.2
2017T2,12346.3
2017T3,12063.7
2017T4,13591.2
2018T1,12892.3
2018T2,13108
