Quarter,e2607,e2500
1995T1,84318,3787.3
1995T2,85459.7,3939.9
1995T3,86911.4,3837.8
1995T4,87474.8,4211.7
1996T1,87965,4123.2
1996T2,88778.6,4204.8
1996T3,88838.2,4164.5
1996T4,89072.4,4221.1
1997T1,89206.1,4221.9
1997T2,91048,4400.7
1997T3,92428.8,4339.1
1997T4,93651.2,4536.5
1998T1,92799.5,4364.5
1998T2,95024.4,4586.1
1998T3,96089.5,4477.2
1998T4,97350.3,4756.4
1999T1,97146.6,4872.5
1999T2,99265.7,5181.8
1999T3,100549.6,5179.1
1999T4,102187.5,5637.3
2000T1,103156.9,5646.8
2000T2,105124.5,5729.5
2000T3,106339.8,5688.5
2000T4,108443.6,6014.7
2001T1,108685.7,5808.1
2001T2,110349.7,5845.8
2001T3,111232.6,5734.4
2001T4,112353.8,6383.7
2002T1,112648.4,6163.1
2002T2,113412.7,6432.7
2002T3,113528,6074.2
2002T4,114382.5,6424.7
2003T1,114479.3,6228.5
2003T2,115384.1,6552.1
2003T3,115565,6331.4
2003T4,116409.6,7075.8
2004T1,116560.2,6690.2
2004T2,118068.5,6965.4
2004T3,118445.2,6863.1
2004T4,119327.3,7416.9
2005T1,117604.7,7025.3
2005T2,118983.4,7443
2005T3,119587.7,7451.9
2005T4,120694.5,8110.7
2006T1,121926.7,8175.2
2006T2,123722.1,8385.9
2006T3,124440.3,8213.5
2006T4,125831.8,9033.9
2007T1,127971.1,8841.4
2007T2,130070,9388.6
2007T3,131265.6,9110.8
2007T4,133131.2,9838.1
2008T1,134742.9,9495.9
2008T2,136627.3,9666.2
2008T3,137691.2,9371.5
2008T4,138531.4,9595
2009T1,133586.7,9008.7
2009T2,133909.5,9077
2009T3,133626.2,8991.3
2009T4,134373.2,9899.6
2010T1,134762.9,9413.8
2010T2,136259.6,10066
2010T3,136628.8,9869.2
2010T4,137620.6,10828.7
2011T1,138210.9,10540.1
2011T2,140344.5,10728.3
2011T3,140722.8,10551.6
2011T4,141540,11344.6
2012T1,141578.7,10703
2012T2,143099.1,11008.3
2012T3,143058.3,10676.6
2012T4,144039.8,11724.2
2013T1,143554.3,10963
2013T2,145130,11606.4
2013T3,145152.2,11489.2
2013T4,146303,12440.9
2014T1,147508.9,11945.6
2014T2,149127.6,11994.1
2014T3,149224,12301.1
2014T4,150502,13583.6
2015T1,151792.5,12658.1
2015T2,153711.6,12752.4
2015T3,153858.5,12331.9
2015T4,155438.3,13837.3
2016T1,156154.4,12880.7
2016T2,158148.3,13291.5
2016T3,158427.6,13058.2
2016T4,160404.3,14072.6
2017T1,160578.1,13402.7
2017T2,162768.6,13636.8
2017T3,162875.8,13327.6
2017T4,165303,14932.2
2018T1,166574.1,14189.8
2018T2,169030.8,14506.5
