Annee,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Janvier,100,102.94,110.85,114.62,121.52,122.52,122.82,124.2,123.91,127.36,131.12,131.12,131.44,132.5,133.43,134.39,139.41,143.78,149.69,151.99,156.82,160.57,166.4,173.06,182.32,192.74,205.79,228.35,255.32,275.48,285.85,296.48,313.34,336.08,365.29,402.55,432.37,441.04,457.07,452.09,454.95,466.25,484.8,502.42,517.09,535.31,549.44,561.16,567.51,577.01,585.21,577.3009304,595.34,612.62,626.81,641.29,653.88,666.74,685.78,700.94,723.79,727.41,742.27,765.56,787.69,803.81,816.12,812.8,816.81,830.63,839.98,855.37,871.5
Fevrier,100.62,103.98,110.09,116.57,122.49,122.26,123.12,123.63,122.98,128.06,130.41,130.61,131,132.03,132.82,134.95,140.49,144.25,148.57,151.5,157.64,160.73,167.46,174.23,182.87,193.64,209.65,231.7,256.54,277.29,286.5,298.03,315.91,338.03,368.81,403.74,435.09,443.77,455.16,452.78,455.29,467.51,485.36,503.11,517.09,536.89,550.87,562.09,568.05,578.73,584.98,587.954564,603.12,620.4,634.48,650.05,662.34,677.2,697.18,710.77,731.97,740.36,751.13,777.68,801.1,819.12,826.19,826.47,827.57,842.05,850.57,868.35,882.5
Mars,100.84,103.04,110.03,118.19,122.53,121.88,122.95,122.45,123.99,127.68,129.39,130.04,130.61,131.22,132.41,134.94,139.95,143.93,148.07,150.74,157.8,161.04,167.78,175.78,183.18,194.35,211.04,233.24,257.17,278.49,287.31,298.55,317.23,340.6,369.16,404.38,434.55,446.11,452.82,452.65,456.16,469.07,485.45,504.1,519.21,538.41,550.67,562.39,569.23,577.64,585.26,588.6418952,604.66,622.12,635,651.88,662.62,678.45,698.55,713.09,737.43,739,755.42,783.33,803.82,819.19,826.06,827.62,827.73,842.13,851.31,869.76,876.79
Avril,100.78,102.51,109.13,121.56,121.48,120.91,122.03,122.15,122.79,128.01,129.76,129.91,130.87,131.27,132.5,134.7,140.19,143.92,148.26,151.08,158.14,161.4,168.49,175.92,183.54,196.18,213.77,236.12,260.79,280.17,288.93,299.29,319.04,342.74,370.42,405.64,437.2,450.01,452.3,451.52,455.94,470.63,487.44,502.13,520,539.59,551.16,562.39,570.91,577.76,584,590.9301324,606.95,624.06,637.46,651.48,664.45,680.85,700.66,714.93,739.27,740.91,757.6,785.64,806.47,819.93,826.33,828.03,828.31,844.28,853.22,871.33,NaN
Mai,100.62,102.62,109.19,120.95,121.52,120.88,122.04,122.01,122.24,128.13,129.83,129.48,130.72,131.34,132.58,137.23,140.26,145.65,148.97,151.25,157.99,162.1,169.37,177.21,184.25,198.59,215.7,237.57,262.39,281.22,289.38,301,321.05,345.34,375.54,407.69,439.16,450.57,452.35,450.92,456.46,472.32,488.56,504.59,522.56,540.73,552.25,563.27,571.35,578.45,585.95,592.589727,607.7,627.56,639.34,651.71,665.88,681.83,703.12,716.16,744.11,741.59,759.03,786.05,805.32,818.17,826.6,831.5,830.96,844.94,856.11,873.32,NaN
Juin,100.93,102.82,109.68,121.02,122.06,121.31,123.3,122.21,123.36,129.23,130.38,130.72,131.94,132.26,133.91,138.08,141.4,146.58,149.93,152.61,158.14,161.91,169.84,177.61,186.31,198.84,216.22,239.28,262.71,282.66,290.2,302.33,321.79,348.88,379.83,408.83,436.41,451.52,452.04,450.35,457.33,473.66,488.35,505.38,523.59,541.07,552.54,564.06,571.1,578.9,585.66,592.3,611.65,629.44,640.32,651.71,667.6,682.17,703.6,717.04,747.38,744.86,758.75,785.17,804.36,820.89,827.42,833.06,832.95,845.36,857.52,872.7412305,NaN
Juillet,102.18,111.2,109.44,122.71,122.75,122.74,123.44,123.26,123.5,130.14,130.42,131.11,131.5,132.2,133.81,138.02,141.38,146.91,150.39,155.37,158.43,162.35,170.5,177.75,187.86,198.62,218.66,241.39,264.74,283.97,290.73,303.83,323.15,350.63,383.76,414.97,437.4,453.91,451.22,450.35,459.23,475.05,489.21,507.94,524.82,542.99,553.87,564.41,571.6,580.28,586.87,584.9212554,605.07,623.26,635.8,646.1,660.85,677.83,697.52,709.68,743.77,738.19,756.23,777.96,796.81,811.43,818.99,824.02,823.68,839.4,851.56,866.79,NaN
Aout,102.76,112.65,111.01,122.59,123.23,122.42,123.86,123.44,123.42,131.81,130.77,132.61,131.51,133.04,133.81,138.42,142.59,147.48,151.09,155.87,158.42,162.15,170.02,177.96,188.49,198.89,219.08,242.38,266.77,283.17,291.07,304.79,324.24,351.86,385.87,417.95,438.46,452.26,449.83,451.87,459.88,475.74,491.47,509.46,525.32,544.62,554.51,564.11,571.84,581.25,587.32,594.48,613.13,630.47,642.09,654.68,668.62,686.91,705.99,718.4,746.63,747.92,764.4,789.05,809.12,823.27,827.69,831.97,833.19,849.49,863.14,876.96,NaN
Septembre,102.29,112.17,111.84,122.15,123.19,122.91,124.26,123.87,123.89,131.57,131.4,132.31,132.64,132.87,134.57,139.4,144.01,147.81,151.46,156.66,158.68,162.41,170.7,178.78,189.32,199.32,220.37,244.21,267.05,282.56,291.59,306.47,324.51,354.89,388.7,421.98,438.34,452.22,451,452.48,460.53,477.08,494.59,510.64,525.96,545.26,556.23,564.85,572.43,582.97,586.81,595.97,616.34,631.218222,643.98,657.6,669.77,689.08,705.31,719.15,747.45,747.11,764.61,789.87,812.59,824.7,826.94,830.61,833.61,848.17,865.13,875.635209,NaN
Octobre,101.26,110.37,114.03,121.34,123.01,122.63,124.36,123.77,124.12,131.16,130.86,131.37,132.28,132.53,133.49,138.72,142.63,147.41,151.12,155.91,159.41,162.53,171.24,179.96,190.23,200.71,222.48,248.03,269.14,283.8,293.2,308.46,326.99,355.84,392.86,425.82,441.12,456.03,451.57,452.52,461.53,479.73,499.74,512.07,528.42,546.88,557.22,565.74,574.25,584.46,587.27,597.6829656,618.28,632.31,646.33,657.2,672.4,692.97,703.53,723.25,746.29,746.43,765.42,791.02,813.61,823,825.04,829.12,833.36,849.08,866.04,875.5525239,NaN
